"ALFANO ",,,,,,,,,,,,,,,
"Lap","Time Lap","Strip","Time Strip","Absolute Time","Time","RPM","Speed #2","Speed #3","K2","Ntc1","A. Long.","A. Lat.","GPS Lat.","GPS Long."
,"[1/100 s]",,"[1/100 s]","[1/10 s]","[1/10 s]",,"[Km/h]","[Km/h]","[°C]","[°C]","[G]","[G]",,
"1","35.97","1","35.97","0","0","6832","40.8","0","407.4","0","-0.32","0.27","35.38201208805964","140.28198575171874"
"","","","","0.1","0.1","6900","41.9","0","407.8","0","-0.33","0.26","35.382052","140.281966"
"","","","","0.2","0.2","7092","43","0","409.6","0","-0.29","0.25","35.382044","140.281971"
"","","","","0.3","0.3","7176","44.2","0","411.7","0","-0.28","0.29","35.382032","140.281974"
"","","","","0.4","0.4","7352","45.2","0","414","0","-0.26","0.25","35.382022","140.281977"
"","","","","0.5","0.5","7554","46","0","416","0","-0.29","0.32","35.382011","140.281981"
"","","","","0.6","0.6","7668","47.1","0","419","0","-0.24","0.38","35.382001","140.281984"
"","","","","0.7","0.7","7960","48.1","0","423","0","-0.34","0.43","35.381989","140.281986"
"","","","","0.8","0.8","8198","48.9","0","427","0","-0.31","0.46","35.381976","140.281987"
"","","","","0.9","0.9","8285","50.2","0","432.3","0","-0.38","0.55","35.381964","140.281989"
"","","","","1","1","8468","51.6","0","438.3","0","-0.3","0.54","35.381952","140.281989"
"","","","","1.1","1.1","8695","52.6","0","443.5","0","-0.36","0.55","35.381939","140.281989"
"","","","","1.2","1.2","8807","53.9","0","449.4","0","-0.32","0.56","35.381926","140.281987"
"","","","","1.3","1.3","8998","55.1","0","454.9","0","-0.33","0.53","35.381912","140.281984"
"","","","","1.4","1.4","9292","56.2","0","460.9","0","-0.33","0.55","35.381899","140.281982"
"","","","","1.5","1.5","9397","57.3","0","468.1","0","-0.35","0.52","35.381884","140.281977"
"","","","","1.6","1.6","9537","58.6","0","476","0","-0.33","0.51","35.381871","140.281972"
"","","","","1.7","1.7","9715","59.9","0","484.4","0","-0.31","0.54","35.381857","140.281967"
"","","","","1.8","1.8","9824","61","0","491.5","0","-0.28","0.59","35.381842","140.281961"
"","","","","1.9","1.9","10068","62","0","500.2","0","-0.27","0.61","35.381829","140.281954"
"","","","","2","2","10284","63","0","509.3","0","-0.29","0.67","35.381814","140.281944"
"","","","","2.1","2.1","10443","63.9","0","516.9","0","-0.29","0.71","35.381801","140.281936"
"","","","","2.2","2.2","10591","65","0","525.2","0","-0.32","0.64","35.381787","140.281926"
"","","","","2.3","2.3","10664","66.1","0","532.5","0","-0.3","0.65","35.381772","140.281916"
"","","","","2.4","2.4","10834","67.2","0","537.7","0","-0.28","0.55","35.381759","140.281902"
"","","","","2.5","2.5","10899","68.3","0","542.9","0","-0.25","0.51","35.381747","140.281889"
"","","","","2.6","2.6","11278","69.2","0","547.6","0","-0.26","0.45","35.381734","140.281876"
"","","","","2.7","2.7","11202","70","0","551.1","0","-0.34","0.48","35.381721","140.281861"
"","","","","2.8","2.8","11679","71.1","0","555.1","0","-0.24","0.38","35.381709","140.281846"
"","","","","2.9","2.9","11459","72.4","0","558.6","0","-0.25","0.37","35.381696","140.281831"
"","","","","3","3","11743","73.1","0","561.1","0","-0.15","0.33","35.381684","140.281814"
"","","","","3.1","3.1","11698","73.6","0","564.2","0","-0.25","0.29","35.381672","140.281797"
"","","","","3.2","3.2","11881","74.5","0","567.1","0","-0.22","0.26","35.381659","140.281779"
"","","","","3.3","3.3","11914","75.2","0","569.5","0","-0.27","0.25","35.381649","140.281762"
"","","","","3.4","3.4","12026","76.1","0","572.1","0","-0.13","0.22","35.381636","140.281744"
"","","","","3.5","3.5","12116","77.1","0","574.4","0","0.04","0.2","35.381624","140.281726"
"","","","","3.6","3.6","12195","77.3","0","576.3","0","0.25","0.16","35.381614","140.281706"
"","","","","3.7","3.7","11897","76.5","0","578.4","0","0.35","0.15","35.381602","140.281687"
"","","","","3.8","3.8","11600","75.5","0","574.3","0","0.48","0.16","35.381591","140.281667"
"","","","","3.9","3.9","10082","74.1","0","562.8","0","0.53","0.2","35.381579","140.281647"
"","","","","4","4","8410","72","0","544.6","0","0.58","0.24","35.381569","140.281629"
"","","","","4.1","4.1","8636","70.1","0","521.9","0","0.51","0.3","35.381557","140.281611"
"","","","","4.2","4.2","10043","68.1","0","491.1","0","0.52","0.33","35.381547","140.281592"
"","","","","4.3","4.3","9942","66.2","0","465.6","0","0.54","0.36","35.381539","140.281574"
"","","","","4.4","4.4","9883","64.5","0","444.6","0","0.44","0.39","35.381529","140.281557"
"","","","","4.5","4.5","9289","62.4","0","425.1","0","0.46","0.45","35.381521","140.281539"
"","","","","4.6","4.6","9249","60.9","0","410.2","0","0.35","0.48","35.381514","140.281522"
"","","","","4.7","4.7","9082","59.6","0","396.5","0","0.49","0.54","35.381507","140.281506"
"","","","","4.8","4.8","8364","58","0","382.1","0","0.56","0.57","35.381501","140.281489"
"","","","","4.9","4.9","8364","56.3","0","371.1","0","0.66","0.55","35.381494","140.281472"
"","","","","5","5","7803","54","0","361.2","0","0.55","0.53","35.381489","140.281456"
"","","","","5.1","5.1","6929","51.5","0","350.8","0","0.56","0.61","35.381486","140.281439"
"","","","","5.2","5.2","6528","49.8","0","342.5","0","0.48","0.58","35.381482","140.281424"
"","","","","5.3","5.3","7120","48","0","334.7","0","0.49","0.63","35.381481","140.281409"
"","","","","5.4","5.4","7119","45.9","0","325.2","0","0.38","0.69","35.381481","140.281394"
"","","","","5.5","5.5","7070","44.6","0","316.5","0","0.23","0.69","35.381479","140.281379"
"","","","","5.6","5.6","7271","43.3","0","310.3","0","0.12","0.64","35.381481","140.281366"
"","","","","5.7","5.7","7532","42.6","0","309.7","0","-0.06","0.72","35.381482","140.281352"
"","","","","5.8","5.8","7448","42.7","0","315.6","0","0.05","0.68","35.381486","140.281339"
"","","","","5.9","5.9","7770","43","0","326.9","0","0.19","0.68","35.381491","140.281327"
"","","","","6","6","7312","42.7","0","345.9","0","0.28","0.68","35.381496","140.281316"
"","","","","6.1","6.1","7129","41.4","0","362.6","0","0.13","0.7","35.381502","140.281306"
"","","","","6.2","6.2","7163","40.4","0","375.3","0","-0.01","0.68","35.381509","140.281294"
"","","","","6.3","6.3","7399","40.7","0","384.6","0","-0.1","0.67","35.381517","140.281286"
"","","","","6.4","6.4","7477","41.4","0","390.5","0","-0.13","0.69","35.381526","140.281279"
"","","","","6.5","6.5","7568","41.7","0","394.7","0","-0.14","0.66","35.381534","140.281272"
"","","","","6.6","6.6","7502","42.3","0","399","0","-0.22","0.65","35.381544","140.281267"
"","","","","6.7","6.7","7443","42.8","0","404","0","-0.19","0.67","35.381554","140.281262"
"","","","","6.8","6.8","7482","43.6","0","409.6","0","-0.21","0.7","35.381564","140.281261"
"","","","","6.9","6.9","7677","44.5","0","415","0","-0.21","0.69","35.381576","140.281259"
"","","","","7","7","7767","45","0","419.2","0","-0.26","0.76","35.381587","140.281259"
"","","","","7.1","7.1","7759","45.9","0","423.5","0","-0.21","0.76","35.381597","140.281259"
"","","","","7.2","7.2","7791","47","0","428","0","-0.19","0.71","35.381609","140.281262"
"","","","","7.3","7.3","7850","47.5","0","432.5","0","-0.23","0.66","35.381621","140.281266"
"","","","","7.4","7.4","7922","48","0","436.4","0","-0.31","0.65","35.381631","140.281272"
"","","","","7.5","7.5","8029","49.2","0","440.4","0","-0.3","0.62","35.381642","140.281279"
"","","","","7.6","7.6","8107","50.3","0","444","0","-0.23","0.6","35.381652","140.281286"
"","","","","7.7","7.7","8250","51.3","0","447.7","0","-0.25","0.59","35.381661","140.281296"
"","","","","7.8","7.8","8378","52","0","452.3","0","-0.23","0.57","35.381671","140.281307"
"","","","","7.9","7.9","8639","52.9","0","456.4","0","-0.23","0.57","35.381679","140.281317"
"","","","","8","8","8778","53.9","0","460.9","0","-0.22","0.62","35.381687","140.281329"
"","","","","8.1","8.1","8877","54.5","0","466.2","0","-0.22","0.63","35.381696","140.281342"
"","","","","8.2","8.2","8996","55.3","0","471.7","0","-0.23","0.65","35.381702","140.281356"
"","","","","8.3","8.3","9126","56.2","0","476.2","0","-0.23","0.68","35.381711","140.281371"
"","","","","8.4","8.4","9205","56.9","0","481.6","0","-0.27","0.65","35.381717","140.281386"
"","","","","8.5","8.5","9380","57.8","0","486.4","0","-0.32","0.52","35.381724","140.281401"
"","","","","8.6","8.6","9405","58.9","0","492.2","0","-0.3","0.43","35.381727","140.281417"
"","","","","8.7","8.7","9537","60.1","0","497.4","0","-0.25","0.3","35.381732","140.281434"
"","","","","8.8","8.8","9661","61.1","0","504.1","0","-0.26","0.19","35.381736","140.281452"
"","","","","8.9","8.9","9831","61.8","0","511.4","0","-0.26","0.09","35.381737","140.281471"
"","","","","9","9","9990","62.8","0","517.5","0","-0.29","0.01","35.381741","140.281489"
"","","","","9.1","9.1","10150","63.9","0","524.8","0","-0.07","-0.11","35.381744","140.281507"
"","","","","9.2","9.2","10259","64.8","0","532.2","0","0.18","-0.25","35.381746","140.281527"
"","","","","9.3","9.3","10289","64.7","0","537.9","0","0.5","-0.37","35.381749","140.281546"
"","","","","9.4","9.4","9907","63.1","0","543","0","0.62","-0.51","35.381752","140.281566"
"","","","","9.5","9.5","9570","61","0","541.1","0","0.81","-0.6","35.381756","140.281586"
"","","","","9.6","9.6","9185","58.6","0","531.5","0","0.8","-0.62","35.381759","140.281604"
"","","","","9.7","9.7","8593","55.4","0","514.9","0","0.78","-0.61","35.381764","140.281622"
"","","","","9.8","9.8","8165","52.3","0","493.9","0","0.75","-0.6","35.381769","140.281639"
"","","","","9.9","9.9","7474","50.1","0","465.7","0","0.8","-0.55","35.381774","140.281656"
"","","","","10","10","6665","47.3","0","442.7","0","0.78","-0.55","35.381781","140.281671"
"","","","","10.1","10.1","6345","44","0","423.7","0","0.78","-0.63","35.381786","140.281684"
"","","","","10.2","10.2","6251","41.6","0","406.7","0","0.82","-0.59","35.381794","140.281696"
"","","","","10.3","10.3","6254","41.6","0","394.2","0","0.74","-0.59","35.381801","140.281707"
"","","","","10.4","10.4","6160","38.7","0","381.1","0","0.67","-0.57","35.381807","140.281716"
"","","","","10.5","10.5","5969","35.7","0","371.2","0","0.39","-0.6","35.381816","140.281724"
"","","","","10.6","10.6","6199","34.3","0","362","0","0.2","-0.51","35.381823","140.28173"
"","","","","10.7","10.7","6359","34","0","356.7","0","0.07","-0.51","35.381831","140.281737"
"","","","","10.8","10.8","6250","34.3","0","357.6","0","-0.05","-0.52","35.381839","140.281741"
"","","","","10.9","10.9","6220","34.5","0","363.5","0","-0.12","-0.56","35.381847","140.281744"
"","","","","11","11","6321","34.7","0","373","0","-0.23","-0.56","35.381856","140.281746"
"","","","","11.1","11.1","6377","35.3","0","387.4","0","-0.23","-0.55","35.381866","140.281746"
"","","","","11.2","11.2","6399","36.4","0","399.1","0","-0.23","-0.56","35.381874","140.281744"
"","","","","11.3","11.3","6408","37.2","0","408","0","-0.16","-0.57","35.381882","140.281742"
"","","","","11.4","11.4","6263","37.8","0","415.2","0","-0.18","-0.51","35.381891","140.281739"
"","","","","11.5","11.5","6453","38.5","0","419.9","0","-0.2","-0.5","35.381901","140.281734"
"","","","","11.6","11.6","6483","39.1","0","423.8","0","-0.19","-0.53","35.381909","140.281727"
"","","","","11.7","11.7","6703","39.9","0","427.4","0","-0.26","-0.53","35.381916","140.281721"
"","","","","11.8","11.8","6812","40.6","0","430.4","0","-0.25","-0.51","35.381924","140.281712"
"","","","","11.9","11.9","7026","41.5","0","434.2","0","-0.3","-0.57","35.381931","140.281704"
"","","","","12","12","7089","42.6","0","437.4","0","-0.26","-0.55","35.381936","140.281694"
"","","","","12.1","12.1","7228","43.5","0","441.3","0","-0.3","-0.54","35.381942","140.281684"
"","","","","12.2","12.2","7468","44.5","0","444.3","0","-0.29","-0.55","35.381947","140.281672"
"","","","","12.3","12.3","7496","45.6","0","447.4","0","-0.32","-0.56","35.381951","140.281659"
"","","","","12.4","12.4","7642","46.7","0","449.9","0","-0.3","-0.54","35.381954","140.281646"
"","","","","12.5","12.5","7815","47.7","0","452.1","0","-0.27","-0.53","35.381957","140.281632"
"","","","","12.6","12.6","8053","48.9","0","454.8","0","-0.28","-0.49","35.381959","140.281619"
"","","","","12.7","12.7","8119","49.7","0","457.6","0","-0.35","-0.51","35.381961","140.281604"
"","","","","12.8","12.8","8291","50.7","0","460.6","0","-0.36","-0.51","35.381962","140.281589"
"","","","","12.9","12.9","8430","52.3","0","464.4","0","-0.36","-0.47","35.381961","140.281572"
"","","","","13","13","8737","53.5","0","468.2","0","-0.34","-0.43","35.381961","140.281557"
"","","","","13.1","13.1","8769","54.6","0","472.6","0","-0.37","-0.37","35.381959","140.281542"
"","","","","13.2","13.2","9009","56","0","478.3","0","-0.4","-0.24","35.381957","140.281524"
"","","","","13.3","13.3","9118","57.3","0","484.2","0","-0.36","-0.12","35.381954","140.281509"
"","","","","13.4","13.4","9358","58.6","0","490","0","-0.39","-0.05","35.381951","140.281492"
"","","","","13.5","13.5","9575","60","0","494.9","0","-0.37","0.01","35.381946","140.281474"
"","","","","13.6","13.6","9733","61.2","0","500.9","0","-0.43","0.05","35.381942","140.281457"
"","","","","13.7","13.7","9935","62.6","0","507.5","0","-0.37","0.1","35.381937","140.281439"
"","","","","13.8","13.8","10157","64.3","0","514.1","0","-0.34","0.11","35.381934","140.281421"
"","","","","13.9","13.9","10341","65.5","0","521.8","0","-0.33","0.11","35.381929","140.281402"
"","","","","14","14","10595","66.4","0","531.2","0","-0.31","0.13","35.381926","140.281384"
"","","","","14.1","14.1","10764","67.8","0","538.7","0","-0.34","0.13","35.381921","140.281364"
"","","","","14.2","14.2","10938","68.9","0","546.3","0","-0.26","0.09","35.381917","140.281344"
"","","","","14.3","14.3","11115","69.9","0","552.6","0","-0.32","0.06","35.381912","140.281324"
"","","","","14.4","14.4","11297","71","0","556.5","0","-0.29","0.06","35.381909","140.281302"
"","","","","14.5","14.5","11402","72","0","560","0","-0.26","0.05","35.381906","140.281281"
"","","","","14.6","14.6","11554","73.1","0","562.9","0","-0.31","0.04","35.381902","140.281261"
"","","","","14.7","14.7","11718","73.9","0","565","0","-0.25","0.06","35.381899","140.281239"
"","","","","14.8","14.8","11836","75","0","567.4","0","-0.29","0.05","35.381894","140.281216"
"","","","","14.9","14.9","11935","76.1","0","570.5","0","-0.2","0.06","35.381891","140.281194"
"","","","","15","15","12067","76.8","0","573.2","0","-0.23","0.03","35.381887","140.281172"
"","","","","15.1","15.1","12197","77.6","0","576.1","0","-0.19","0.06","35.381884","140.281149"
"","","","","15.2","15.2","12312","78.4","0","579.9","0","-0.21","0.01","35.381879","140.281126"
"","","","","15.3","15.3","12424","79.1","0","582.6","0","-0.22","0.02","35.381876","140.281102"
"","","","","15.4","15.4","12526","79.8","0","585.3","0","-0.18","0","35.381872","140.281079"
"","","","","15.5","15.5","12636","80.7","0","587.9","0","-0.15","-0.03","35.381869","140.281056"
"","","","","15.6","15.6","12768","81.2","0","589.9","0","-0.14","-0.02","35.381866","140.281031"
"","","","","15.7","15.7","12856","81.6","0","591.8","0","-0.16","-0.01","35.381862","140.281007"
"","","","","15.8","15.8","12914","82.3","0","593.6","0","0.04","-0.05","35.381857","140.280982"
"","","","","15.9","15.9","12981","82.8","0","595.1","0","0.23","-0.09","35.381854","140.280957"
"","","","","16","16","12658","82","0","596.3","0","0.43","-0.13","35.381851","140.280932"
"","","","","16.1","16.1","12474","80.5","0","591.2","0","0.5","-0.29","35.381847","140.280907"
"","","","","16.2","16.2","11518","78.9","0","578.9","0","0.57","-0.41","35.381842","140.280882"
"","","","","16.3","16.3","9416","76.8","0","560.2","0","0.52","-0.53","35.381839","140.280859"
"","","","","16.4","16.4","10077","74.7","0","532.7","0","0.55","-0.64","35.381836","140.280836"
"","","","","16.5","16.5","11115","73.1","0","505.7","0","0.65","-0.72","35.381831","140.280812"
"","","","","16.6","16.6","10202","71.1","0","476.1","0","0.78","-0.75","35.381827","140.280791"
"","","","","16.7","16.7","9980","68.3","0","455.5","0","0.71","-0.77","35.381822","140.280769"
"","","","","16.8","16.8","9689","65.4","0","436.8","0","0.64","-0.76","35.381816","140.280747"
"","","","","16.9","16.9","9236","63.1","0","422.6","0","0.6","-0.73","35.381811","140.280729"
"","","","","17","17","8645","61","0","409.9","0","0.6","-0.72","35.381802","140.280711"
"","","","","17.1","17.1","8153","58.7","0","397.3","0","0.63","-0.75","35.381796","140.280694"
"","","","","17.2","17.2","7421","56.7","0","387.8","0","0.64","-0.73","35.381787","140.280677"
"","","","","17.3","17.3","6508","54.4","0","378.7","0","0.7","-0.75","35.381779","140.280664"
"","","","","17.4","17.4","6878","51.9","0","368.9","0","0.54","-0.77","35.381771","140.280649"
"","","","","17.5","17.5","6756","49.5","0","360.4","0","0.49","-0.77","35.381762","140.280637"
"","","","","17.6","17.6","7208","47.8","0","351.7","0","0.41","-0.71","35.381752","140.280627"
"","","","","17.7","17.7","7265","46.4","0","341.4","0","0.32","-0.74","35.381741","140.280621"
"","","","","17.8","17.8","7221","44.7","0","335.1","0","0.32","-0.69","35.381732","140.280612"
"","","","","17.9","17.9","7397","43.8","0","332.7","0","0.17","-0.66","35.381722","140.280606"
"","","","","18","18","7215","42.9","0","336.4","0","0.21","-0.66","35.381712","140.280601"
"","","","","18.1","18.1","7138","42","0","345.3","0","0.09","-0.67","35.381702","140.280597"
"","","","","18.2","18.2","7130","41.7","0","358.6","0","0.05","-0.65","35.381692","140.280594"
"","","","","18.3","18.3","6923","41.2","0","376.2","0","0.07","-0.67","35.381682","140.280594"
"","","","","18.4","18.4","6913","41.2","0","390.6","0","0.03","-0.7","35.381671","140.280594"
"","","","","18.5","18.5","6981","41","0","402.3","0","0.08","-0.68","35.381661","140.280596"
"","","","","18.6","18.6","6879","40.6","0","412.2","0","0.01","-0.63","35.381651","140.280599"
"","","","","18.7","18.7","6858","40.5","0","417.6","0","-0.07","-0.66","35.381641","140.280604"
"","","","","18.8","18.8","6872","40.4","0","420.6","0","-0.09","-0.69","35.381632","140.280609"
"","","","","18.9","18.9","6999","40.9","0","423.2","0","-0.19","-0.65","35.381624","140.280617"
"","","","","19","19","7060","41.3","0","425.7","0","-0.04","-0.71","35.381617","140.280624"
"","","","","19.1","19.1","7098","41.9","0","428.2","0","-0.18","-0.76","35.381611","140.280632"
"","","","","19.2","19.2","7166","42.1","0","431.8","0","-0.18","-0.74","35.381604","140.280642"
"","","","","19.3","19.3","7348","42.6","0","435.7","0","-0.28","-0.7","35.381599","140.280654"
"","","","","19.4","19.4","7241","44","0","439.2","0","-0.08","-0.76","35.381596","140.280667"
"","","","","19.5","19.5","7458","44.7","0","442.5","0","-0.05","-0.72","35.381592","140.280679"
"","","","","19.6","19.6","7685","44.6","0","445.9","0","-0.06","-0.71","35.381589","140.280692"
"","","","","19.7","19.7","7773","44.7","0","448.7","0","-0.21","-0.68","35.381589","140.280707"
"","","","","19.8","19.8","7779","45.3","0","451.8","0","-0.24","-0.61","35.381589","140.280721"
"","","","","19.9","19.9","7868","46","0","454.9","0","-0.31","-0.48","35.381591","140.280734"
"","","","","20","20","7707","47","0","458.1","0","-0.27","-0.31","35.381592","140.280747"
"","","","","20.1","20.1","7792","48.2","0","461.1","0","-0.31","-0.15","35.381596","140.280761"
"","","","","20.2","20.2","7911","49.1","0","464.1","0","-0.28","0.05","35.381601","140.280774"
"","","","","20.3","20.3","8038","50.1","0","467","0","-0.24","0.22","35.381606","140.280787"
"","","","","20.4","20.4","8191","51.3","0","470.1","0","-0.18","0.43","35.381611","140.280801"
"","","","","20.5","20.5","8395","51.9","0","472.9","0","-0.19","0.55","35.381617","140.280814"
"","","","","20.6","20.6","8835","52.4","0","475.7","0","-0.18","0.71","35.381622","140.280829"
"","","","","20.7","20.7","8953","53.3","0","479.3","0","0.04","0.82","35.381627","140.280844"
"","","","","20.8","20.8","8892","53.8","0","483.6","0","0.2","0.87","35.381631","140.280859"
"","","","","20.9","20.9","8904","53","0","488","0","0.16","0.86","35.381634","140.280876"
"","","","","21","21","8963","51.8","0","491.4","0","0.07","0.9","35.381636","140.280892"
"","","","","21.1","21.1","8748","51.7","0","495.6","0","0.07","0.86","35.381636","140.280909"
"","","","","21.2","21.2","8532","51.7","0","499.3","0","0.26","0.83","35.381634","140.280926"
"","","","","21.3","21.3","8565","51","0","502.9","0","0.16","0.86","35.381632","140.280941"
"","","","","21.4","21.4","8494","49.8","0","506.4","0","0.09","0.89","35.381629","140.280957"
"","","","","21.5","21.5","8673","49.7","0","509.5","0","-0.06","0.83","35.381624","140.280971"
"","","","","21.6","21.6","8655","50.4","0","511","0","-0.11","0.77","35.381617","140.280986"
"","","","","21.7","21.7","8589","50.4","0","511.7","0","-0.22","0.82","35.381612","140.280997"
"","","","","21.8","21.8","8643","51","0","511.9","0","-0.29","0.76","35.381604","140.281011"
"","","","","21.9","21.9","8807","52.1","0","512","0","-0.17","0.74","35.381596","140.281022"
"","","","","22","22","8996","53.1","0","512.5","0","-0.09","0.8","35.381586","140.281032"
"","","","","22.1","22.1","8900","53.5","0","514.4","0","-0.04","0.86","35.381576","140.281042"
"","","","","22.2","22.2","9260","53.5","0","517.1","0","-0.08","0.8","35.381566","140.281052"
"","","","","22.3","22.3","9185","53.8","0","521.4","0","0.11","0.81","35.381552","140.281061"
"","","","","22.4","22.4","9315","54.1","0","526.1","0","0.25","0.83","35.381541","140.281067"
"","","","","22.5","22.5","9276","53.2","0","530.1","0","0.36","0.81","35.381527","140.281072"
"","","","","22.6","22.6","8811","51.6","0","533.2","0","0.31","0.8","35.381514","140.281077"
"","","","","22.7","22.7","8437","50.6","0","530.6","0","0.28","0.8","35.381501","140.281079"
"","","","","22.8","22.8","8042","49.5","0","519.4","0","0.31","0.84","35.381487","140.281081"
"","","","","22.9","22.9","7850","48.4","0","503.1","0","0.31","0.82","35.381476","140.281081"
"","","","","23","23","7635","47.4","0","482.1","0","0.28","0.8","35.381462","140.281079"
"","","","","23.1","23.1","7533","46.1","0","453.7","0","0.13","0.81","35.381451","140.281076"
"","","","","23.2","23.2","7403","45.1","0","430.5","0","-0.05","0.79","35.381439","140.281072"
"","","","","23.3","23.3","7674","45.2","0","411.6","0","-0.13","0.79","35.381429","140.281067"
"","","","","23.4","23.4","7855","45.8","0","400.4","0","-0.07","0.79","35.381419","140.281061"
"","","","","23.5","23.5","7936","46.3","0","400","0","-0.03","0.78","35.381409","140.281052"
"","","","","23.6","23.6","8000","46.3","0","405.6","0","0.05","0.77","35.381401","140.281042"
"","","","","23.7","23.7","7898","46.3","0","418.1","0","-0.02","0.78","35.381392","140.281032"
"","","","","23.8","23.8","7923","46.1","0","431.9","0","-0.11","0.74","35.381386","140.281021"
"","","","","23.9","23.9","8063","46.1","0","443.9","0","-0.18","0.72","35.381379","140.281009"
"","","","","24","24","8053","47","0","453.5","0","-0.24","0.69","35.381374","140.280996"
"","","","","24.1","24.1","7941","47.7","0","459.9","0","-0.18","0.74","35.381371","140.280982"
"","","","","24.2","24.2","8490","48.4","0","465.4","0","-0.23","0.73","35.381369","140.280967"
"","","","","24.3","24.3","8272","49.3","0","471.3","0","-0.22","0.75","35.381366","140.280954"
"","","","","24.4","24.4","8499","49.9","0","476.3","0","-0.17","0.74","35.381366","140.280939"
"","","","","24.5","24.5","8443","50.8","0","481.5","0","-0.11","0.73","35.381366","140.280924"
"","","","","24.6","24.6","8916","51.4","0","487.4","0","-0.1","0.63","35.381367","140.280907"
"","","","","24.7","24.7","8780","51.4","0","493.1","0","-0.21","0.55","35.381371","140.280892"
"","","","","24.8","24.8","8820","52","0","498.8","0","-0.29","0.37","35.381374","140.280877"
"","","","","24.9","24.9","8871","53","0","503.3","0","-0.32","0.18","35.381379","140.280862"
"","","","","25","25","8856","54.1","0","508.2","0","-0.33","0","35.381384","140.280849"
"","","","","25.1","25.1","8964","55.2","0","513.2","0","-0.35","-0.23","35.381391","140.280834"
"","","","","25.2","25.2","9196","56.5","0","517.2","0","-0.27","-0.43","35.381397","140.280819"
"","","","","25.3","25.3","9502","57.7","0","521.7","0","-0.3","-0.58","35.381404","140.280804"
"","","","","25.4","25.4","9789","58.6","0","526.1","0","-0.24","-0.73","35.381411","140.280787"
"","","","","25.5","25.5","10005","59.5","0","530","0","-0.31","-0.75","35.381417","140.280772"
"","","","","25.6","25.6","10035","60.6","0","533.9","0","-0.21","-0.75","35.381422","140.280754"
"","","","","25.7","25.7","10240","61.5","0","538.3","0","-0.27","-0.56","35.381427","140.280737"
"","","","","25.8","25.8","10140","62.3","0","542","0","-0.2","-0.34","35.381431","140.280719"
"","","","","25.9","25.9","10482","63.2","0","545.9","0","-0.2","-0.04","35.381434","140.280701"
"","","","","26","26","10263","64","0","549.5","0","-0.06","0.25","35.381436","140.280682"
"","","","","26.1","26.1","10360","64.4","0","552.2","0","-0.02","0.52","35.381437","140.280662"
"","","","","26.2","26.2","10570","64.5","0","555.1","0","-0.03","0.67","35.381437","140.280642"
"","","","","26.3","26.3","10773","64.4","0","557.8","0","0.16","0.77","35.381441","140.280624"
"","","","","26.4","26.4","10664","64.5","0","559.9","0","0.2","0.87","35.381442","140.280604"
"","","","","26.5","26.5","10436","63.2","0","562.4","0","0.3","0.9","35.381446","140.280584"
"","","","","26.6","26.6","10598","61.3","0","564.4","0","0.19","1.05","35.381451","140.280566"
"","","","","26.7","26.7","9894","60.7","0","564.2","0","0.2","1.05","35.381456","140.280547"
"","","","","26.8","26.8","9745","60","0","558.7","0","0.22","1.11","35.381461","140.280531"
"","","","","26.9","26.9","9746","59.2","0","548.3","0","0.18","1.07","35.381469","140.280514"
"","","","","27","27","10030","58.4","0","538.5","0","0.08","1.07","35.381477","140.280497"
"","","","","27.1","27.1","10055","57.8","0","531.4","0","0.04","0.98","35.381486","140.280482"
"","","","","27.2","27.2","10068","57.7","0","527.3","0","-0.01","0.97","35.381497","140.280471"
"","","","","27.3","27.3","10316","57.7","0","529.4","0","-0.03","0.93","35.381507","140.280459"
"","","","","27.4","27.4","10162","57.6","0","536.7","0","-0.03","0.94","35.381521","140.280449"
"","","","","27.5","27.5","10259","57.9","0","544.9","0","-0.1","0.92","35.381532","140.280439"
"","","","","27.6","27.6","10334","58","0","550.1","0","-0.14","0.92","35.381546","140.280431"
"","","","","27.7","27.7","10185","58.2","0","555.3","0","-0.27","0.91","35.381559","140.280424"
"","","","","27.8","27.8","10185","59.2","0","560","0","-0.24","0.86","35.381572","140.280417"
"","","","","27.9","27.9","10200","60.2","0","564.1","0","-0.26","0.84","35.381587","140.280412"
"","","","","28","28","9917","61","0","569","0","-0.23","0.87","35.381601","140.280409"
"","","","","28.1","28.1","9868","61.9","0","573.6","0","-0.21","0.8","35.381617","140.280407"
"","","","","28.2","28.2","9978","62.8","0","577.1","0","-0.26","0.77","35.381632","140.280406"
"","","","","28.3","28.3","10190","63.4","0","581.3","0","-0.25","0.8","35.381647","140.280406"
"","","","","28.4","28.4","10443","64.4","0","585.2","0","-0.32","0.79","35.381662","140.280407"
"","","","","28.5","28.5","10567","65.5","0","588.5","0","-0.25","0.79","35.381677","140.280411"
"","","","","28.6","28.6","10683","66.4","0","592.3","0","-0.31","0.85","35.381692","140.280414"
"","","","","28.7","28.7","10770","67.5","0","596.1","0","-0.27","0.9","35.381711","140.280419"
"","","","","28.8","28.8","10861","68.5","0","599.1","0","-0.2","0.94","35.381726","140.280424"
"","","","","28.9","28.9","11045","69.5","0","602.7","0","-0.16","1.03","35.381742","140.280429"
"","","","","29","29","11231","70","0","606.2","0","-0.08","1.05","35.381757","140.280437"
"","","","","29.1","29.1","11312","70.4","0","609.2","0","-0.11","1.1","35.381772","140.280447"
"","","","","29.2","29.2","11359","70.8","0","613","0","-0.14","1.13","35.381787","140.280457"
